,title,link,room_size,price
0,"Studentenzimmer (10,12 m2) 3er WG-Laim ab 01.01.2019",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Laim.3787089.html,10.0,420.0
1,Two rooms available - Möbliertes Zimmer in einer 3er WG am Goethe Institut,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Neuhausen-Nymphenburg.4171665.html,11.0,600.0
2,Zimmer mit Himmelbett für 1 Monat zu vermieten*,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Sendling.6927752.html,19.0,650.0
3,Möbliertes Zimmer an weibliche Wiesnbedienung,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Lerchenau.6923957.html,11.0,310.0
4,УЮТНАЯ КОМНАТА В ЧАСТНОМ ДОМЕ В МЮНХЕНЕ,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ramersdorf.6782075.html,9.0,450.0
5,Sonniges Zimmer in München-Planegg,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Planegg.6843287.html,12.0,250.0
6,Furnished room with balcony in a 3 Girls flatshare at Goethe Institut,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Neuhausen-Nymphenburg.4785694.html,10.0,550.0
7,Neue Hauptmieterin gesucht - 30m² (2 Zimmer) in netter 4er WG - gute Lage,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-Nord.4358815.html,30.0,620.0
8,"Zwei teilmöblierte Zimmer für Berufstätige, auch ein Paar in der Maxvorstadt ab 1. Oktober zu vermieten",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.6927720.html,20.0,600.0
9,Ruhiges Altbauzimmer Im Zentrum,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ludwigsvorstadt-Isarvorstadt.3578386.html,17.0,560.0
10,ab 1.Oktober für 5 Monate ruhiges schönes Zimmer Nähe Sendlinger Tor,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ludwigsvorstadt-Isarvorstadt.6636401.html,17.0,560.0
11,"Helles, ruhiges, voll möbliertes Zimmer in zentraler Lage mit vielen Freizeitangeboten und Einkaufsmöglichkeiten ab dem 01.11.18 sucht netten, bevorzugt männlichen und BERUFSTÄTIGEN Mitbewohner",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Trudering.6908983.html,17.0,2.0
12,"3 möblierte Zimmer (ca. 13 qm) tw. mit Balkon, renoviert, ab sofort in zentraler Lage (Berg-am-Laim) zu vermieten, kostenfrei Internet/Sat-TV & Gartenmitbenutzung",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Berg-am-Laim.6597045.html,13.0,570.0
13,Schönes grosses helles Zimmer /   30 qm  /   Metro  U2  Schwabing-Nord,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-Nord---naehe-BMW-Innovation-Centre-FIZ.470230.html,30.0,480.0
14,"Zimmer in schöner 2er-WG in Pasing direkt an der FH! 3-Zi.-Whg. in saniertem Altbau mit Dielenböden, Holzofen, Ost-Balkon usw.",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Pasing-Obermenzing.6417458.html,18.0,670.0
15,15 qm Zimmer in Top-Lage am Kurfürstenplatz ab 1.12. zu vermieten,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-West.6903094.html,15.0,700.0
16,"Schönes, helles 19qm Zimmer mit Ausblick in gemischter 3er WG",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Sendling.6805994.html,19.0,520.0
17,01.Jan. 2019 Super schönes Zimmer zentral Schwabing,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-West.6927636.html,12.0,650.0
18,"Tolle Lage in Schwabing, München gemeinsam erleben!",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-Freimann.5058099.html,12.0,200.0
19,Möbliertes Zimmer in Dreifamilienhaus,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Feldmoching.6602782.html,16.0,550.0
20,Möbliertes Zimmer / furnished room for shorttime / monthly  rent,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Bogenhausen.4635567.html,25.0,849.0
21,"Schönes, ruhiges möbliertes Zimmer / fully furnishe room",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Bogenhausen.6308628.html,22.0,849.0
22,Möbliertes Zimmer / fully furnished room,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Bogenhausen.6170152.html,22.0,848.0
23,Möbliertes Zimmer/ furnished room available,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Bogenhausen.6509938.html,20.0,849.0
24,"Sehr schönes, helles und ruhiges Zimmer, 16m²",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Sendling.6119606.html,16.0,390.0
25,top WG zimmer zu vermieten Nähe München,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-top-WG-zimmer.4061496.html,15.0,450.0
26,schönes helles großes WG-Zimmer in einer 3-Zimmer-Wohnung relativ zentral!,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Neuhausen-Nymphenburg.6913290.html,20.0,600.0
27,"Grosszügiges Zimmer in 3 zimmerwonung, zentral gelegen, sehr gepflegt und ruhig",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Haidhausen.6927634.html,20.0,900.0
28,19 qm Zimmer zur Untermiete in Schwabing-West vom 14.10.18-10.11.18,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-West.6924749.html,19.0,540.0
29,"do READ the text carefully, thank you *** for a minimum of 2, a maximum 5 nights * NO long term, sorry * near bonner platz",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-West.6914767.html,15.0,33.0
30,"Sunny, south-facing room with great view",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Moosach.4880504.html,12.0,720.0
31,Luxuriöse WG mit Dachterasse an der Prater Insel,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Altstadt-Lehel.6927587.html,20.0,1200.0
32,10qm Zimmer in 4er WG wird frei :),https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Hadern.6926958.html,10.0,550.0
33,"Wg Zimmer in Pasing,gute Lage!",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Muenchen.6927599.html,16.0,550.0
34,Nette WG sucht nette Mitbewohnerin für Zimmer 19m² in Einfamilienhaus,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ramersdorf-Perlach.6222478.html,19.0,550.0
35,AB SOFORT FREI! Neue große & helle Penthouse WG mit 2 Balkonen und eigenem Schwimmbad / IMMEDIATELY AVAILABLE! New large & bright penthouse apartment with 2 balconies and private swimming pool,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Perlach.6562629.html,20.0,750.0
36,[All Inklusiv] Zimmer frei in neues RMH nähe Moosach (near to MAN/MTU/BMW),https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Feldmoching-Hasenbergl.6903852.html,15.0,800.0
37,komplett möbliertes Zimmer in sehr großer Wohnung,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Westpark.3227537.html,13.0,520.0
38,Möbliertes WG-Zimmer in geräumigen Haus mit großem Garten,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.6894556.html,18.0,380.0
39,TOP 1 Zimmer zu vergeben in einem 2 Zimmer Wohnung an der Münchner Freiheit,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-West.6714216.html,18.0,430.0
40,Möbliertes Frauen WG Zimmer 13qm,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Planegg.4517562.html,16.0,370.0
41,"Studentenzimmer (10,12 m2) 3er WG-Laim ab 01.01.2019",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Laim.3787089.html,10.0,420.0
42,Big room in great apartment in Haidhausen (3 WG),https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Au-Haidhausen.6119215.html,16.0,890.0
43,"Möbiliertes. Zi in 1er/2er - WG,in ruhigem Haus, München-Berg am Laim, nahe /U2 und Tram 19, zu vermieten",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Berg-am-Laim.5165742.html,12.0,469.0
44,Wunderschönes Zimmer an Wochenendheimfahrer,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Au-Haidhausen.6885938.html,20.0,650.0
45,1 Zimmer 12 qm in unserer 80 qm Wohnung,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Lerchenau.5870872.html,12.0,550.0
46,18 qm in 3er WG-Neugründung am Prinzregentenplatz,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Bogenhausen.6927547.html,18.0,600.0
47,Mitbewohnerin gesucht in München Zentrum ab1 Oktober 2018,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Obergiesing.6816697.html,10.0,600.0
48,BMW FIZ Nähe: vollmöbliertes WG Zimmer in 3er WG zur Zwischenmiete (01.10.18 - 31.12.19),https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Milbertshofen-Am-Hart.6515170.html,10.0,650.0
49,Comfortable room,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Au-Haidhausen.6920410.html,20.0,840.0
50,"Mittendrin,z. Stadt 33Min.Hbf u. Bergen, See (5Min.), im schönsten Ort Bayern`s",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Bernried.5365264.html,20.0,490.0
51,"Am Starnberger See ist eine 2er WG - Z. frei, 35qm in 110qm gr. Wohnung",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Am-Starnberger-See.5406878.html,35.0,680.0
52,AB SOFORT 3 Wochen Möbliertes Altbau WG Zimmer zur Untermiete,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.6915852.html,16.0,450.0
53,FURNISHED AlRB'NB ► #balcony #loftbed @baldeplatz @wittelsbacherbrücke @kolumbusplatz @fraunhoferstraße @flaucher @rosengarten,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Au-Haidhausen.6902256.html,18.0,630.0
54,FURNISHED AlRB'NB ► #balcony #loftbed @baldeplatz @wittelsbacherbrücke @kolumbusplatz @fraunhoferstraße @flaucher @rosengarten,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Au-Haidhausen.6902301.html,18.0,60.0
55,15 qm Zimmer in komplett renovierter Wohnung mit super Anbindung,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Pasing-Obermenzing.6808979.html,15.0,690.0
56,14qm Zimmer in ruhiger schöner Wohnung - möbliert,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Milbertshofen-noerdlich-Schwabing.6700188.html,14.0,785.0
57,WG-Zimmer sucht Mieter,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Neuhausen-Nymphenburg.6927446.html,10.0,640.0
58,Schönes möbliertes helles 16 qm Zimmer zur Untermiete,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-West.6704283.html,16.0,900.0
59,"Möbliertes sonniges Zimmer in netter 9er WG, zentral",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Sendling.6911727.html,8.0,450.0
60,Zimmer (evtl. möbliert - Zeitdauer offen),https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Pasing-Zentrum.6646878.html,11.0,745.0
61,Zimmer mit Zugang zur Dachterrasse in 150qm Wohnung,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Pasing-Zentrum.5886916.html,16.0,855.0
62,"Schönes, helles Zimmer befristet abzugeben",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Untergiesing-Harlaching.6562344.html,16.0,450.0
63,Möbiliertes 35 qm Zimmer mit eigenem Bad,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Berg-am-Laim.3025134.html,35.0,580.0
64,WG-Zimmer am Odeonsplatz,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Altstadt-Lehel.6926583.html,15.0,700.0
65,Junger Mann mit Behinderung sucht sozialen WG Mitbewohner - 2er WG Stiglmairplatz (80 qm) / Maxvorstadt,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.6927359.html,14.0,650.0
